Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE,TotalSales,2025-10,Cluster,Deadstock
PET CLOTHES PINK DRESS - SMALL,CLOTHES AND FASHION ACCESSORIES,C06,0,0.0,0,0,0,0.0,320.0,7,3,660.0,0,0,1
PET CLOTHES STRIPED DESS S/M/L,CLOTHES AND FASHION ACCESSORIES,C07,0,0.0,0,0,0,0.0,320.0,7,3,660.0,0,0,1
POLICE SANDO - M,CLOTHES AND FASHION ACCESSORIES,C08,0,1.0,0,0,0,-1.0,95.0,7,3,210.0,0,0,1
POLICE SANDO - L,CLOTHES AND FASHION ACCESSORIES,C09,0,0.0,0,0,0,0.0,100.0,7,3,220.0,0,0,1
POLICE SANDO - XL,CLOTHES AND FASHION ACCESSORIES,C10,0,0.0,0,0,0,0.0,120.0,7,3,260.0,0,0,1
PET CLOTHES GREEN HOODIE JACKET,CLOTHES AND FASHION ACCESSORIES,C11,0,0.0,0,0,0,1.0,290.0,8,3,604.0,0,0,1
PET CLOTHES DENIM DRESS LACE,CLOTHES AND FASHION ACCESSORIES,C12,0,0.0,0,0,0,1.0,320.0,8,3,664.0,0,0,1
PET CLOTHES HOOD BLUE 2XL,CLOTHES AND FASHION ACCESSORIES,C13,1,0.0,0,0,0,3.0,220.0,8,3,470.0,0,0,1
PET CLOTHES LACE DRESS,CLOTHES AND FASHION ACCESSORIES,C14,3,1.0,2,1,0,6.0,140.0,8,3,329.0,1,0,0
PET CLOTHES CROSS BODY BEAR / PANDA - LARGE,CLOTHES AND FASHION ACCESSORIES,C15,0,0.0,1,0,0,1.0,220.0,8,3,466.0,0,0,1
PET CLOTHES CROSS BODY BEAR / PANDA - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C16,0,0.0,2,0,0,2.0,190.0,8,3,410.0,0,0,1
PET CLOTHES CROSS BODY BEAR / PANDA - SMALL,CLOTHES AND FASHION ACCESSORIES,C17,0,0.0,0,1,0,5.0,170.0,8,3,374.0,0,0,1
PET CLOTHES FRUITY LEMON,CLOTHES AND FASHION ACCESSORIES,C18,0,0.0,0,0,0,2.0,210.0,18,3,466.0,0,0,1
RAINCOAT ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C19,0,0.0,0,0,0,1.0,190.0,18,3,424.0,0,0,1
PET CLOTHES WITH HOOD,CLOTHES AND FASHION ACCESSORIES,C20,0,1.0,0,0,0,1.0,220.0,18,3,486.0,0,0,1
PET CLOTHES BINI SANDO - ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C21,0,0.0,0,0,2,4.0,140.0,18,3,335.0,1,0,0
PET CLOTHES BLUE STRIPE - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C22,0,0.0,1,0,0,3.0,120.0,18,3,290.0,0,0,1
PET CLOTHES YELLOW STRIPE BEAR - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C23,0,0.0,0,0,0,4.0,120.0,18,3,290.0,0,0,1
PET CLOTHES BEAR PRINT SMALL,CLOTHES AND FASHION ACCESSORIES,C24,0,1.0,0,0,0,4.0,90.0,18,3,232.0,0,0,1
PET CLOTHES BEAR PRINT MEDIUM,CLOTHES AND FASHION ACCESSORIES,C25,0,0.0,0,0,0,6.0,120.0,18,3,294.0,0,0,1
