Year,Month,Name,ProductGroup,SKU,Quantity,QuantitySold,Price,LeadTime,Threshold,PredictedThreshold
2025,May,BUNK BED DELUXE B2,PET BEDS,B02,0,0,1200,7,3,5.9244967
2025,Jun,BUNK BED DELUXE B2,PET BEDS,B02,0,0,1200,7,3,5.9244967
2025,Jul,BUNK BED DELUXE B2,PET BEDS,B02,1,0,1200,7,3,5.9244967
2025,Aug,BUNK BED DELUXE B2,PET BEDS,B02,2,0,1200,7,3,5.9244967
2025,Sep,BUNK BED DELUXE B2,PET BEDS,B02,1,0,1200,7,3,5.9244967
2025,May,BUNK BED DOUBLE DOOR LARGE B3,PET BEDS,B03,0,0,1200,5,3,3.8698199
2025,Jun,BUNK BED DOUBLE DOOR LARGE B3,PET BEDS,B03,1,0,1200,5,3,3.8698199
2025,Jul,BUNK BED DOUBLE DOOR LARGE B3,PET BEDS,B03,6,0,1200,5,3,3.8698199
2025,Aug,BUNK BED DOUBLE DOOR LARGE B3,PET BEDS,B03,1,0,1200,5,3,3.8698199
2025,Sep,BUNK BED DOUBLE DOOR LARGE B3,PET BEDS,B03,4,0,1200,5,3,3.8698199
2025,May,BUNK BED DOUBLE DECK,PET BEDS,B04,1,0,1200,11,3,8.028888
2025,Jun,BUNK BED DOUBLE DECK,PET BEDS,B04,1,0,1200,11,3,8.028888
2025,Jul,BUNK BED DOUBLE DECK,PET BEDS,B04,0,0,1200,11,3,8.028888
2025,Aug,BUNK BED DOUBLE DECK,PET BEDS,B04,1,0,1200,11,3,8.028888
2025,Sep,BUNK BED DOUBLE DECK,PET BEDS,B04,2,0,1200,11,3,8.028888
2025,May,PET BED SEMI CLOSED WASHABLE W/ PILLOW XL MANILA,PET BEDS,B05,1,0,1100,6,3,4.683448
2025,Jun,PET BED SEMI CLOSED WASHABLE W/ PILLOW XL MANILA,PET BEDS,B05,1,0,1100,6,3,4.683448
2025,Jul,PET BED SEMI CLOSED WASHABLE W/ PILLOW XL MANILA,PET BEDS,B05,4,0,1100,6,3,4.683448
2025,Aug,PET BED SEMI CLOSED WASHABLE W/ PILLOW XL MANILA,PET BEDS,B05,1,0,1100,6,3,4.683448
2025,Sep,PET BED SEMI CLOSED WASHABLE W/ PILLOW XL MANILA,PET BEDS,B05,1,0,1100,6,3,4.683448
2025,May,HOUSE BED  LARGE,PET BEDS,B06,0,0,1400,6,3,4.691958
2025,Jun,HOUSE BED  LARGE,PET BEDS,B06,1,0,1400,6,3,4.691958
2025,Jul,HOUSE BED  LARGE,PET BEDS,B06,2,0,1400,6,3,4.691958
2025,Aug,HOUSE BED  LARGE,PET BEDS,B06,2,0,1400,6,3,4.691958
2025,Sep,HOUSE BED  LARGE,PET BEDS,B06,0,0,1400,6,3,4.691958
2025,May,SMALL BED ROUND SOFT  XS,PET BEDS,B07,0,0,360,6,3,4.617286
2025,Jun,SMALL BED ROUND SOFT  XS,PET BEDS,B07,2,0,360,6,3,4.617286
2025,Jul,SMALL BED ROUND SOFT  XS,PET BEDS,B07,1,1,360,6,3,4.617286
2025,Aug,SMALL BED ROUND SOFT  XS,PET BEDS,B07,1,0,360,6,3,4.617286
2025,Sep,SMALL BED ROUND SOFT  XS,PET BEDS,B07,,0,360,6,3,4.617286
2025,May,PET SOFA BED  SMALL,PET BEDS,B08,,0,650,6,3,4.5747886
2025,Jun,PET SOFA BED  SMALL,PET BEDS,B08,,0,650,6,3,4.5747886
2025,Jul,PET SOFA BED  SMALL,PET BEDS,B08,1,0,650,6,3,4.5747886
2025,Aug,PET SOFA BED  SMALL,PET BEDS,B08,5,0,650,6,3,4.5747886
2025,Sep,PET SOFA BED  SMALL,PET BEDS,B08,11,0,650,6,3,4.5747886
2025,May,UNIVERSAL BED LARGE,PET BEDS,B09,0,0,920,6,3,4.7088237
2025,Jun,UNIVERSAL BED LARGE,PET BEDS,B09,0,0,920,6,3,4.7088237
2025,Jul,UNIVERSAL BED LARGE,PET BEDS,B09,0,0,920,6,3,4.7088237
2025,Aug,UNIVERSAL BED LARGE,PET BEDS,B09,0,0,920,6,3,4.7088237
2025,Sep,UNIVERSAL BED LARGE,PET BEDS,B09,1,0,920,6,3,4.7088237
2025,May,VELVET BED,PET BEDS,B10,0,0,1100,6,3,4.683448
2025,Jun,VELVET BED,PET BEDS,B10,0,0,1100,6,3,4.683448
2025,Jul,VELVET BED,PET BEDS,B10,1,0,1100,6,3,4.683448
2025,Aug,VELVET BED,PET BEDS,B10,1,0,1100,6,3,4.683448
2025,Sep,VELVET BED,PET BEDS,B10,3,0,1100,6,3,4.683448
2025,May,SUMMER RECTANGULAR BED  LARGE,PET BEDS,B11,6,0,560,6,3,4.6074176
2025,Jun,SUMMER RECTANGULAR BED  LARGE,PET BEDS,B11,1,1,560,6,3,4.6074176
2025,Jul,SUMMER RECTANGULAR BED  LARGE,PET BEDS,B11,2,0,560,6,3,4.6074176
2025,Aug,SUMMER RECTANGULAR BED  LARGE,PET BEDS,B11,5,1,560,6,3,4.6074176
2025,Sep,SUMMER RECTANGULAR BED  LARGE,PET BEDS,B11,2,0,560,6,3,4.6074176
2025,May,ROUND DOUGHNUT BED SMALL,PET BEDS,B12,1,0,720,6,3,4.6110096
2025,Jun,ROUND DOUGHNUT BED SMALL,PET BEDS,B12,1,0,720,6,3,4.6110096
2025,Jul,ROUND DOUGHNUT BED SMALL,PET BEDS,B12,4,0,720,6,3,4.6110096
2025,Aug,ROUND DOUGHNUT BED SMALL,PET BEDS,B12,3,0,720,6,3,4.6110096
2025,Sep,ROUND DOUGHNUT BED SMALL,PET BEDS,B12,4,0,720,6,3,4.6110096
2025,May,ROUND DOUGHNUT BED MEDIUM,PET BEDS,B13,4,0,810,6,3,4.628377
2025,Jun,ROUND DOUGHNUT BED MEDIUM,PET BEDS,B13,6,0,810,6,3,4.628377
2025,Jul,ROUND DOUGHNUT BED MEDIUM,PET BEDS,B13,4,0,810,6,3,4.628377
2025,Aug,ROUND DOUGHNUT BED MEDIUM,PET BEDS,B13,3,0,810,6,3,4.628377
2025,Sep,ROUND DOUGHNUT BED MEDIUM,PET BEDS,B13,4,0,810,6,3,4.628377
2025,May,ROUND DOUGHNUT BED LARGE,PET BEDS,B14,4,0,810,6,3,4.628377
2025,Jun,ROUND DOUGHNUT BED LARGE,PET BEDS,B14,2,0,810,6,3,4.628377
2025,Jul,ROUND DOUGHNUT BED LARGE,PET BEDS,B14,2,0,810,6,3,4.628377
2025,Aug,ROUND DOUGHNUT BED LARGE,PET BEDS,B14,2,0,810,6,3,4.628377
2025,Sep,ROUND DOUGHNUT BED LARGE,PET BEDS,B14,2,0,810,6,3,4.628377
2025,May,BIG EYES SOFA BED  LARGE,PET BEDS,B15,3,0,1200,6,3,4.728627
2025,Jun,BIG EYES SOFA BED  LARGE,PET BEDS,B15,0,0,1200,6,3,4.728627
2025,Jul,BIG EYES SOFA BED  LARGE,PET BEDS,B15,2,0,1200,6,3,4.728627
2025,Aug,BIG EYES SOFA BED  LARGE,PET BEDS,B15,6,0,1200,6,3,4.728627
2025,Sep,BIG EYES SOFA BED  LARGE,PET BEDS,B15,6,0,1200,6,3,4.728627
2025,May,FRUIT SUMMER ROUND BACK NEST  LARGE,PET BEDS,B16,2,0,650,6,3,4.5747886
2025,Jun,FRUIT SUMMER ROUND BACK NEST  LARGE,PET BEDS,B16,3,0,650,6,3,4.5747886
2025,Jul,FRUIT SUMMER ROUND BACK NEST  LARGE,PET BEDS,B16,4,0,650,6,3,4.5747886
2025,Aug,FRUIT SUMMER ROUND BACK NEST  LARGE,PET BEDS,B16,7,0,650,6,3,4.5747886
2025,Sep,FRUIT SUMMER ROUND BACK NEST  LARGE,PET BEDS,B16,1,0,650,6,3,4.5747886
2025,May,SOFT BED RECTANGULAR MEDIUM,PET BEDS,B17,1,1,360,9,3,6.4019804
2025,Jun,SOFT BED RECTANGULAR MEDIUM,PET BEDS,B17,0,1,360,9,3,6.4019804
2025,Jul,SOFT BED RECTANGULAR MEDIUM,PET BEDS,B17,0,0,360,9,3,6.4019804
2025,Aug,SOFT BED RECTANGULAR MEDIUM,PET BEDS,B17,3,0,360,9,3,6.4019804
2025,Sep,SOFT BED RECTANGULAR MEDIUM,PET BEDS,B17,2,0,360,9,3,6.4019804
2025,May,SOFT BED RECTANGULAR SMALL,PET BEDS,B18,1,0,220,9,3,5.932577
2025,Jun,SOFT BED RECTANGULAR SMALL,PET BEDS,B18,2,0,220,9,3,5.932577
2025,Jul,SOFT BED RECTANGULAR SMALL,PET BEDS,B18,0,0,220,9,3,5.932577
2025,Aug,SOFT BED RECTANGULAR SMALL,PET BEDS,B18,1,0,220,9,3,5.932577
2025,Sep,SOFT BED RECTANGULAR SMALL,PET BEDS,B18,5,0,220,9,3,5.932577
2025,May,CAT HAMMOCK WOOL COTTON S/M,PET BEDS,B19,9,0,160,10,3,6.769121
2025,Jun,CAT HAMMOCK WOOL COTTON S/M,PET BEDS,B19,7,1,160,10,3,6.769121
2025,Jul,CAT HAMMOCK WOOL COTTON S/M,PET BEDS,B19,2,1,160,10,3,6.769121
2025,Aug,CAT HAMMOCK WOOL COTTON S/M,PET BEDS,B19,2,1,160,10,3,6.769121
2025,Sep,CAT HAMMOCK WOOL COTTON S/M,PET BEDS,B19,2,0,160,10,3,6.769121
2025,May,CAT HAMMOCK WOOL COTTON LARGE,PET BEDS,B20,1,0,180,17,3,12.382392
2025,Jun,CAT HAMMOCK WOOL COTTON LARGE,PET BEDS,B20,2,0,180,17,3,12.382392
2025,Jul,CAT HAMMOCK WOOL COTTON LARGE,PET BEDS,B20,1,0,180,17,3,12.382392
2025,Aug,CAT HAMMOCK WOOL COTTON LARGE,PET BEDS,B20,1,0,180,17,3,12.382392
2025,Sep,CAT HAMMOCK WOOL COTTON LARGE,PET BEDS,B20,0,1,180,17,3,12.382392
2025,May,CAT HAMMOCK WOOL COTTON XL,PET BEDS,B21,2,0,220,18,3,12.827243
2025,Jun,CAT HAMMOCK WOOL COTTON XL,PET BEDS,B21,4,0,220,18,3,12.827243
2025,Jul,CAT HAMMOCK WOOL COTTON XL,PET BEDS,B21,5,1,220,18,3,12.827243
2025,Aug,CAT HAMMOCK WOOL COTTON XL,PET BEDS,B21,10,0,220,18,3,12.827243
2025,Sep,CAT HAMMOCK WOOL COTTON XL,PET BEDS,B21,3,1,220,18,3,12.827243
2025,May,SOFT BED WOOL COTTON  SMALL,PET BEDS,B22,5,1,290,18,3,13.084387
2025,Jun,SOFT BED WOOL COTTON  SMALL,PET BEDS,B22,4,2,290,18,3,13.084387
2025,Jul,SOFT BED WOOL COTTON  SMALL,PET BEDS,B22,2,3,290,18,3,13.084387
2025,Aug,SOFT BED WOOL COTTON  SMALL,PET BEDS,B22,2,0,290,18,3,13.084387
2025,Sep,SOFT BED WOOL COTTON  SMALL,PET BEDS,B22,2,0,290,18,3,13.084387
2025,May,SOFT BED WOOL COTTON  MEDIUM,PET BEDS,B23,2,0,380,18,4,13.290133
2025,Jun,SOFT BED WOOL COTTON  MEDIUM,PET BEDS,B23,4,2,380,18,4,13.290133
2025,Jul,SOFT BED WOOL COTTON  MEDIUM,PET BEDS,B23,1,3,380,18,4,13.290133
2025,Aug,SOFT BED WOOL COTTON  MEDIUM,PET BEDS,B23,1,3,380,18,4,13.290133
2025,Sep,SOFT BED WOOL COTTON  MEDIUM,PET BEDS,B23,2,3,380,18,4,13.290133
2025,May,HANGING TENT HAMMOCK  SMALL,PET BEDS,B24,1,0,196,18,3,12.845745
2025,Jun,HANGING TENT HAMMOCK  SMALL,PET BEDS,B24,4,0,196,18,3,12.845745
2025,Jul,HANGING TENT HAMMOCK  SMALL,PET BEDS,B24,,1,196,18,3,12.845745
2025,Aug,HANGING TENT HAMMOCK  SMALL,PET BEDS,B24,1,0,196,18,3,12.845745
