Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE
PET CLOTHES HOODIE COSTUME WITH EARS ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C26,0,0,0,0,0,4,325,18,3
PET CLOTHES SWEATER MEDIUM,CLOTHES AND FASHION ACCESSORIES,C27,0,0,0,0,0,3,250,18,3
PET CLOTHES SEE THROUGH SANDO ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C28,0,0,0,0,0,4,140,18,3
PET CLOTHES SILK NEON,CLOTHES AND FASHION ACCESSORIES,C29,0,0,1,0,1,4,140,18,3
PET CLOTHES 3D PRINT ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C30,0,0,0,0,0,2,160,18,3
PET CLOTHES YELLOW BEAR STRIPE - SMALL,CLOTHES AND FASHION ACCESSORIES,C31,0,1,0,0,0,2,90,18,3
PET CLOTHES BRIEF ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C32,0,0,0,0,0,2,180,18,3
PET CLOTHES SUNDRESS - SMALL,CLOTHES AND FASHION ACCESSORIES,C33,0,0,1,0,0,2,190,18,3
PET CLOTHES SUNDRESS - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C34,0,0,0,0,0,3,220,18,3
PET CLOTHES SUNDRESS - LARGE,CLOTHES AND FASHION ACCESSORIES,C35,0,0,0,0,0,0,280,18,3
PET CLOTHES FLORAL DRESS ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C36,0,1,0,1,0,2,250,18,3
PET CLOTHES MOUSE PRINT LARGE,CLOTHES AND FASHION ACCESSORIES,C37,0,0,3,0,0,6,180,18,3
PET CLOTHES GREEN BEAR PRINT MEDIUM,CLOTHES AND FASHION ACCESSORIES,C38,0,0,1,0,0,6,120,18,3
PET CLOTHES YELLOW SUNFLOWER,CLOTHES AND FASHION ACCESSORIES,C39,0,0,0,0,0,2,220,18,3
PET CLOTHES BLUE COTTON BEAR BAG,CLOTHES AND FASHION ACCESSORIES,C40,1,0,0,0,0,3,250,18,3
PET CLOTHES SLEEPWEAR MEDIUM,CLOTHES AND FASHION ACCESSORIES,C42,0,0,0,1,1,4,230,18,3
PET CLOTHES RAINBOW STRIPES,CLOTHES AND FASHION ACCESSORIES,C43,0,0,0,0,0,7,230,18,3
PET CLOTHES PRINTED SANDO,CLOTHES AND FASHION ACCESSORIES,C45,0,0,0,0,0,1,95,18,3
PET CLOTHES HIPIDOG YELLOW FLORAL LACE DRESS,CLOTHES AND FASHION ACCESSORIES,C46,0,0,0,0,0,1,230,18,3
PET CLOTHES PINK DRESS LACE SMALL,CLOTHES AND FASHION ACCESSORIES,C47,0,0,0,0,0,0,320,18,3
PET CLOTHES STRIPE DRESS ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C48,1,1,0,0,0,0,290,18,3
PET PLASTIC SHOES - SMALL,CLOTHES AND FASHION ACCESSORIES,C49,0,0,0,0,0,3,130,18,3
PET PLASTIC SHOES - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C50,1,0,0,0,1,2,160,18,3
PET PLASTIC SHOES - LARGE,CLOTHES AND FASHION ACCESSORIES,C51,0,0,0,0,0,1,190,18,3
FAT CAT SHAMPOO 1000ML,CLOTHES AND FASHION ACCESSORIES,C52,1,0,2,1,0,2,240,18,3
PAMPERED POOCH PUPPY SHAMPOO 1000ML,CLOTHES AND FASHION ACCESSORIES,C53,1,0,0,0,0,0,240,18,3
PET CLOTHES YELLOW STRIPE POCHACCO,CLOTHES AND FASHION ACCESSORIES,C54,0,0,0,0,0,1,250,18,3
RECOVERY SUIT - SMALL,CLOTHES AND FASHION ACCESSORIES,C55,0,5,0,0,0,5,180,18,3
RECOVERY SUIT - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C56,0,1,1,0,0,9,190,18,3
RECOVERY SUITE - LARGE,CLOTHES AND FASHION ACCESSORIES,C57,0,3,1,0,0,7,220,18,3
PRINCESS DRESS - SMALL,CLOTHES AND FASHION ACCESSORIES,C58,0,0,1,1,0,2,260,18,3
PRINCESS DRESS - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C59,0,0,2,0,0,2,280,18,3
PRINCESS DRESS - LARGE,CLOTHES AND FASHION ACCESSORIES,C60,0,0,1,0,0,2,290,18,3
PRINCESS DRESS - XL,CLOTHES AND FASHION ACCESSORIES,C61,0,1,3,0,0,1,320,18,3
RED JUMPER STRIPE FRENCH FRIES,CLOTHES AND FASHION ACCESSORIES,C62,0,0,1,0,0,2,320,18,3
JUMPER STRIPE -MEDIUM,CLOTHES AND FASHION ACCESSORIES,C63,0,2,0,0,0,-1,220,18,3
JUMPER STRIPE - SMALL,CLOTHES AND FASHION ACCESSORIES,C64,0,0,0,0,0,1,0,18,3
CANDY COLOR DRESS ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C65,0,0,0,0,0,0,195,18,3
BARBIE CLOTHES SANDO XS/S,CLOTHES AND FASHION ACCESSORIES,C66,0,0,0,0,0,2,190,18,3
BARBIE CLOTHES SANDO M/L/XL,CLOTHES AND FASHION ACCESSORIES,C67,0,0,0,0,0,4,230,18,3
PET RECOVERY SUIT PRINTED - SMALL,CLOTHES AND FASHION ACCESSORIES,C68,0,0,0,0,0,5,165,18,3
PET RECOVERY SUIT PRINTED - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C69,0,0,0,2,0,10,195,18,3
PET RECOVERY SUIT PRINTED - LARGE,CLOTHES AND FASHION ACCESSORIES,C70,0,0,0,0,0,3,220,18,3
PET RECOVERY SUIT PRINTED - XL,CLOTHES AND FASHION ACCESSORIES,C71,0,0,0,0,0,5,240,18,3
WASHABLE DIAPER ORDINARY - SMALL WDO,CLOTHES AND FASHION ACCESSORIES,C72,0,0,0,0,0,4,120,18,3
PET EYE GLASSES,CLOTHES AND FASHION ACCESSORIES,C73,0,0,0,2,0,2,88,18,3
NECK CONE PILLOW ROUND NCP - L,CLOTHES AND FASHION ACCESSORIES,C74,0,0,0,0,1,2,220,18,3
NECK CONE PILLOW ROUND NCP - M,CLOTHES AND FASHION ACCESSORIES,C75,0,0,0,0,0,2,180,18,3
WASHABLE UNDERWARE - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C76,0,0,0,0,1,2,90,18,3
SILK RIBBON DRESS - MEDIUM SRD,CLOTHES AND FASHION ACCESSORIES,C77,0,0,0,0,0,4,280,18,3
SILK RIBBON DRESS - LARGE SRD,CLOTHES AND FASHION ACCESSORIES,C78,0,0,0,0,0,1,320,14,3
FASHION SUMMER DRESS -FSD,CLOTHES AND FASHION ACCESSORIES,C79,0,0,0,0,0,1,220,14,3
RUFFLE SKIRT DRESS  - RSD,CLOTHES AND FASHION ACCESSORIES,C80,0,0,0,0,0,2,170,14,3
SHIMMER DRESS,CLOTHES AND FASHION ACCESSORIES,C81,0,0,0,0,0,1,160,14,3
PEARL NECKLACE S/M/L,CLOTHES AND FASHION ACCESSORIES,C82,0,0,0,1,0,4,180,14,3
PET SNEAKERS SHOES - ALL SIZES,CLOTHES AND FASHION ACCESSORIES,C88,0,0,0,0,1,,180,14,3
FOLDED HANDBAG PET CARRIER WITH MESH SIDE,"CARRIER, CAGE, AND PLAYPENS",CCO0009,0,1,0,0,0,-1,320,14,3
PET BAG UFO BACKPACK 30X23X35CM,"CARRIER, CAGE, AND PLAYPENS",CCP0001,0,0,0,0,0,1,750,3,3
PET BOX CREAMY TRANSPARENT TYPE 33*41*18CM,"CARRIER, CAGE, AND PLAYPENS",CCP0002,0,0,0,0,0,0,220,12,3
PET CAR SEAT BOX,"CARRIER, CAGE, AND PLAYPENS",CCP0003,0,0,0,0,0,0,700,12,3
BACKPACK GREY COTTON,"CARRIER, CAGE, AND PLAYPENS",CCP0004,0,0,0,0,0,0,460,12,3
BOX TYPE BREATHABLE BACKPACK,"CARRIER, CAGE, AND PLAYPENS",CCP0005,0,0,0,0,0,0,490,12,3
CLEAR BACKPACK CARRIER,"CARRIER, CAGE, AND PLAYPENS",CCP0006,1,2,1,0,2,2,990,12,4
CLEAR SLING CARRIER - CFH,"CARRIER, CAGE, AND PLAYPENS",CCP0007,2,0,0,1,0,3,850,12,3
FRONT CARRIER BAG - L,"CARRIER, CAGE, AND PLAYPENS",CCP0010,1,2,3,1,0,3,390,12,4
FRONT CARRIER BAG - M,"CARRIER, CAGE, AND PLAYPENS",CCP0011,1,1,2,1,1,6,350,12,3
FRONT CARRIER BAG - S,"CARRIER, CAGE, AND PLAYPENS",CCP0012,3,2,1,3,0,4,320,12,5
FRONT CARRIER BAG - XL,"CARRIER, CAGE, AND PLAYPENS",CCP0013,0,0,0,0,0,0,196,12,3
LIGHTWEIGHT PET TRAVEL BACKPACK CLEAR WINDOW CAT FACE PRINT,"CARRIER, CAGE, AND PLAYPENS",CCP0014,0,0,0,0,0,1,850,12,3
PET BAG BACKPACK ALL SEASONS,"CARRIER, CAGE, AND PLAYPENS",CCP0015,1,0,0,0,0,1,850,3,3
PET BAG BACKPACK OXFORD CLOTH,"CARRIER, CAGE, AND PLAYPENS",CCP0016,0,0,0,0,0,0,420,6,3
PET BAG CAT EAR CLEAR SPACE CARRIER 34*10*28CM,"CARRIER, CAGE, AND PLAYPENS",CCP0017,1,0,0,0,0,2,1100,3,3
PET BAG LEATHER BACKPACK CAPSULE WITH CARTOON STICKERS,"CARRIER, CAGE, AND PLAYPENS",CCP0018,0,0,0,0,0,0,550,6,3
PET BAG PORTABLE HAND HELD SHOULDER BREATHABLE,"CARRIER, CAGE, AND PLAYPENS",CCP0019,0,0,0,0,0,0,570,3,3
PET BAG PORTABLE HAND-HELD SHOULDER BAG EVA+PC,"CARRIER, CAGE, AND PLAYPENS",CCP0020,0,0,0,1,0,2,890,6,3
PET CARRIER ASTRO BACKPACK CLEAR WINDOW 42X34X27CM,"CARRIER, CAGE, AND PLAYPENS",CCP0021,1,1,0,1,1,4,1300,6,3
PET CARRIER GLOSSY PLASTIC TRANSPARENT SLING HANDBAG,"CARRIER, CAGE, AND PLAYPENS",CCP0022,1,0,0,0,0,3,1020,5,3
PET CARRIER SHOULDER BAG SLING - LARGE,"CARRIER, CAGE, AND PLAYPENS",CCP0023,0,0,0,0,0,0,298,5,3
PET CARRIER SHOULDER BAG SLING - SMALL,"CARRIER, CAGE, AND PLAYPENS",CCP0024,0,0,0,0,0,0,298,5,3
PET CARRIER SLING BAG MESH,"CARRIER, CAGE, AND PLAYPENS",CCP0025,0,0,0,0,0,0,0,5,3
CAT VILLA CAGE - 4 LAYER 85X62X178CM,"CARRIER, CAGE, AND PLAYPENS",CCP0026,0,0,0,0,0,1,7880,5,3
PET CAGE MULTIFUNCTIONAL CAT CABINET 100X60X60CM,"CARRIER, CAGE, AND PLAYPENS",CCP0027,0,0,0,0,0,0,3200,5,3
CAT CONDO 2-3 LAYERS,"CARRIER, CAGE, AND PLAYPENS",CCP0028,0,0,0,0,0,0,700,5,3
CAT CONDO 5 LAYERS WITH 2 ROOMS,"CARRIER, CAGE, AND PLAYPENS",CCP0029,0,0,0,1,0,1,3600,5,3
CAT PET CAGE 2 LAYERS,"CARRIER, CAGE, AND PLAYPENS",CCP0030,0,0,0,0,0,0,1820,5,3
COLLAPSIBLE CAT CAGE - 2 XL,"CARRIER, CAGE, AND PLAYPENS",CCP0031,0,0,0,0,0,0,1550,5,3
COLLAPSIBLE CAT CAGE - 3 XL,"CARRIER, CAGE, AND PLAYPENS",CCP0032,0,0,0,0,0,0,2050,5,3
COLLAPSIBLE CAT CAGE - LARGE,"CARRIER, CAGE, AND PLAYPENS",CCP0033,0,0,0,0,0,0,1280,5,3
CAGE MAT,"CARRIER, CAGE, AND PLAYPENS",CCP0034,0,0,0,0,0,0,0,5,3
CHINA COLLAPSIBLE CAGE - L,"CARRIER, CAGE, AND PLAYPENS",CCP0035,0,2,1,1,1,4,1100,5,3
CHINA COLLAPSIBLE CAGE - M,"CARRIER, CAGE, AND PLAYPENS",CCP0036,0,2,4,1,0,6,850,5,3
CHINA COLLAPSIBLE CAGE - S,"CARRIER, CAGE, AND PLAYPENS",CCP0037,0,0,0,0,0,0,480,5,3
HD LOCAL COLLAPSIBLE CAGE - 2XL,"CARRIER, CAGE, AND PLAYPENS",CCP0038,2,2,1,2,2,8,1700,5,4
HD LOCAL COLLAPSIBLE CAGE - 3XL,"CARRIER, CAGE, AND PLAYPENS",CCP0039,0,0,2,0,0,5,2500,5,3
HD LOCAL COLLAPSIBLE CAGE - L,"CARRIER, CAGE, AND PLAYPENS",CCP0040,0,0,2,3,2,8,1200,5,4
HD LOCAL COLLAPSIBLE CAGE - M,"CARRIER, CAGE, AND PLAYPENS",CCP0041,0,0,0,0,1,8,850,5,3
HD LOCAL COLLAPSIBLE CAGE - XL,"CARRIER, CAGE, AND PLAYPENS",CCP0042,2,0,0,0,2,8,1320,5,3
LOCAL PLAYPEN 6 PANELS - SMALL,"CARRIER, CAGE, AND PLAYPENS",CCP0043,1,1,0,0,0,4,1750,5,3
LOCAL PLAYPEN 8 PANELS - MEDIUM,"CARRIER, CAGE, AND PLAYPENS",CCP0044,0,1,0,0,0,0,2200,5,3
PAWSMART COLLAPSIBLE CAGE - 3XL,"CARRIER, CAGE, AND PLAYPENS",CCP0045,0,0,0,0,0,0,1800,5,3
TRAVEL CRATES  - S,"CARRIER, CAGE, AND PLAYPENS",CCP0046,3,1,2,5,0,2,950,5,4
TRAVEL CRATES - 2XL,"CARRIER, CAGE, AND PLAYPENS",CCP0047,1,1,0,0,0,0,2800,5,3
TRAVEL CRATES - 3XL,"CARRIER, CAGE, AND PLAYPENS",CCP0048,0,0,0,0,0,0,3500,5,3
TRAVEL CRATES - L,"CARRIER, CAGE, AND PLAYPENS",CCP0049,0,0,4,0,0,2,1900,5,3
TRAVEL CRATES - M,"CARRIER, CAGE, AND PLAYPENS",CCP0050,0,1,1,2,1,7,1600,5,4
TRAVEL CRATES - XL,"CARRIER, CAGE, AND PLAYPENS",CCP0051,1,0,1,0,1,3,2200,5,3
TRAVEL CRATES - XS,"CARRIER, CAGE, AND PLAYPENS",CCP0052,2,2,0,0,0,0,850,5,3
CLEAR SLING BAG - PC05M,"CARRIER, CAGE, AND PLAYPENS",CCP0053,2,5,1,1,1,2,850,5,4
CAT CONDO 5LAYERS BLUE 2320,"CARRIER, CAGE, AND PLAYPENS",CCP0054,0,0,0,0,0,1,3500,3,3
